Trip_ID,Route_ID,Route_Name,Operator_Name,Bus_Number,Bus_Type,Departure_City,Arrival_City,Date,Day_Type,Departure_Time,Arrival_Time,Scheduled_Duration_Minutes,Actual_Duration_Minutes,Delay_Minutes,Passenger_Count,Bus_Capacity,Occupancy_Rate (%),Ticket_Fare_PKR,Ticket_Revenue_PKR,Fuel_Consumption_Liters,Driver_ID,Weather_Condition,Traffic_Level,Trip_Status
TRP-00001,RT-001,Karachi to Faisalabad,Punjab Transit,QTA-9935,Mini Bus,Karachi,Faisalabad,14-02-2025,Weekday,22:30,--:--,1136,0,0,0,26,0.0,1145,0,0.0,DRV-0051,Sunny,Moderate,Cancelled
TRP-00002,RT-002,Hyderabad to Peshawar,Capital Bus Service,LEA-3615,Mini Bus,Hyderabad,Peshawar,24-12-2025,Weekday,17:25,17:20,1380,1435,55,18,28,64.3,1800,32400,321.7,DRV-0012,Dust Storm,Low,Delayed
TRP-00003,RT-003,Lahore to Hyderabad,Blue Line Transit,ISB-6925,Standard,Lahore,Hyderabad,23-10-2025,Weekday,10:55,08:44,1266,1309,43,24,42,57.1,1325,31800,310.2,DRV-0094,Rainy,High,Completed
TRP-00004,RT-004,Quetta to Multan,Capital Bus Service,QTA-2169,Mini Bus,Quetta,Multan,08-11-2025,Weekend,09:40,19:49,592,609,17,15,27,55.6,615,9225,92.2,DRV-0015,Sunny,Low,Completed
TRP-00005,RT-005,Hyderabad to Karachi,Blue Line Transit,KHI-6155,Standard,Hyderabad,Karachi,19-04-2025,Weekend,19:30,23:02,195,212,17,30,49,61.2,250,7500,48.5,DRV-0150,Sunny,Low,Completed
TRP-00006,RT-006,Lahore to Multan,Punjab Transit,LEA-1771,AC,Lahore,Multan,26-02-2025,Weekday,08:50,16:03,408,433,25,25,53,47.2,435,10875,98.5,DRV-0142,Cloudy,Moderate,Completed
TRP-00007,RT-007,Lahore to Karachi,Capital Bus Service,ISB-2827,Mini Bus,Lahore,Karachi,31-05-2025,Weekend,17:10,13:59,1192,1249,57,26,29,89.7,1440,37440,241.3,DRV-0051,Dust Storm,High,Completed
TRP-00008,RT-008,Rawalpindi to Islamabad,City Metro Bus,PES-1319,Electric,Rawalpindi,Islamabad,27-02-2025,Weekday,15:20,16:52,54,92,38,17,41,41.5,80,1360,0.9,DRV-0122,Sunny,Moderate,Delayed
TRP-00009,RT-009,Faisalabad to Islamabad,Blue Line Transit,MUL-4295,Hybrid,Faisalabad,Islamabad,09-06-2025,Weekday,16:50,22:53,338,363,25,32,49,65.3,375,12000,61.5,DRV-0059,Foggy,Moderate,Completed
TRP-00010,RT-007,Lahore to Karachi,City Metro Bus,LEA-6413,Standard,Lahore,Karachi,06-02-2025,Weekday,20:15,17:11,1238,1256,18,32,50,64.0,1340,42880,341.5,DRV-0063,Sunny,Low,Completed
TRP-00011,RT-010,Peshawar to Rawalpindi,Blue Line Transit,PES-8651,AC,Peshawar,Rawalpindi,28-01-2025,Weekday,07:00,11:28,227,268,41,21,50,42.0,235,4935,57.3,DRV-0047,Rainy,Low,Completed
TRP-00012,RT-006,Lahore to Multan,Green Line Express,SGD-2604,AC,Lahore,Multan,26-01-2025,Weekend,21:00,02:57,342,357,15,23,47,48.9,400,9200,105.9,DRV-0100,Sunny,Moderate,Completed
TRP-00013,RT-011,Rawalpindi to Peshawar,National Express PK,ISB-4566,Standard,Rawalpindi,Peshawar,30-01-2025,Weekday,22:55,02:55,219,240,21,17,45,37.8,240,4080,48.3,DRV-0131,Sunny,Moderate,Completed
TRP-00014,RT-012,Islamabad to Rawalpindi,Green Line Express,KHI-7615,Electric,Islamabad,Rawalpindi,03-03-2025,Weekday,22:15,23:20,48,65,17,27,59,45.8,85,2295,0.9,DRV-0081,Sunny,Moderate,Completed
TRP-00015,RT-013,Lahore to Sialkot,Capital Bus Service,SGD-2188,AC,Lahore,Sialkot,05-01-2025,Weekend,18:45,21:24,144,159,15,38,43,88.4,195,7410,41.9,DRV-0041,Sunny,Moderate,Completed
TRP-00016,RT-014,Multan to Faisalabad,City Metro Bus,MUL-5905,Electric,Multan,Faisalabad,06-12-2025,Weekend,07:10,12:53,305,343,38,29,43,67.4,275,7975,13.9,DRV-0068,Rainy,Low,Completed
TRP-00017,RT-015,Islamabad to Peshawar,City Metro Bus,PES-5533,Standard,Islamabad,Peshawar,23-01-2025,Weekday,04:25,08:30,225,245,20,17,43,39.5,245,4165,47.5,DRV-0177,Sunny,Moderate,Completed
TRP-00018,RT-016,Karachi to Hyderabad,Punjab Transit,LEA-6050,AC,Karachi,Hyderabad,06-07-2025,Weekend,05:25,09:42,232,257,25,43,47,91.5,255,10965,60.3,DRV-0061,Cloudy,Moderate,Completed
TRP-00019,RT-015,Islamabad to Peshawar,Sindh Rapid Transit,PES-5065,Mini Bus,Islamabad,Peshawar,17-05-2025,Weekend,09:55,14:58,268,303,35,17,25,68.0,270,4590,32.5,DRV-0059,Rainy,Low,Completed
TRP-00020,RT-017,Islamabad to Faisalabad,Sindh Rapid Transit,LEA-5573,Standard,Islamabad,Faisalabad,29-06-2025,Weekend,20:30,02:39,336,369,33,41,45,91.1,370,15170,94.5,DRV-0028,Foggy,Low,Completed
TRP-00021,RT-018,Multan to Sialkot,Green Line Express,MUL-4114,AC,Multan,Sialkot,11-05-2025,Weekend,05:55,15:09,518,554,36,30,56,53.6,545,16350,137.0,DRV-0085,Foggy,Moderate,Completed
TRP-00022,RT-019,Faisalabad to Lahore,Blue Line Transit,QTA-5844,AC,Faisalabad,Lahore,11-10-2025,Weekend,08:15,11:39,173,204,31,35,52,67.3,200,7000,37.8,DRV-0074,Cloudy,High,Completed
TRP-00023,RT-007,Lahore to Karachi,Sindh Rapid Transit,PES-4501,AC,Lahore,Karachi,19-09-2025,Weekday,19:55,17:23,1269,1288,19,29,42,69.0,1425,41325,373.5,DRV-0058,Sunny,High,Completed
TRP-00024,RT-020,Islamabad to Karachi,National Express PK,SGD-2193,Electric,Islamabad,Karachi,22-08-2025,Weekday,17:50,16:27,1353,1357,4,38,52,73.1,1590,60420,82.7,DRV-0057,Sunny,Moderate,Completed
