Trip_ID,Route_ID,Route_Name,Operator_Name,Bus_Number,Bus_Type,Departure_City,Arrival_City,Date,Day_Type,Departure_Time,Arrival_Time,Scheduled_Duration_Minutes,Actual_Duration_Minutes,Delay_Minutes,Passenger_Count,Bus_Capacity,Occupancy_Rate (%),Ticket_Fare_PKR,Ticket_Revenue_PKR,Fuel_Consumption_Liters,Driver_ID,Weather_Condition,Traffic_Level,Trip_Status,Departure_Hour,Arrival_Hour,Year,Month,Month_Number,Day,Weekday,Revenue_Category,Delay_Category,Occupancy_Category
TRP-00001,RT-001,Karachi to Faisalabad,Punjab Transit,QTA-9935,Mini Bus,Karachi,Faisalabad,2025-02-14,Weekday,22:30,,1136,0,0,0,26,0.0,1145,0,0.0,DRV-0051,Sunny,Moderate,Cancelled,22,,2025,February,2,14,Friday,,On Time,
TRP-00002,RT-002,Hyderabad to Peshawar,Capital Bus Service,LEA-3615,Mini Bus,Hyderabad,Peshawar,2025-12-24,Weekday,17:25,17:20,1380,1435,55,18,28,64.29,1800,32400,321.7,DRV-0012,Dust Storm,Low,Delayed,17,17.0,2025,December,12,24,Wednesday,High,High,High
TRP-00003,RT-003,Lahore to Hyderabad,Blue Line Transit,ISB-6925,Standard,Lahore,Hyderabad,2025-10-23,Weekday,10:55,08:44,1266,1309,43,24,42,57.14,1325,31800,310.2,DRV-0094,Rainy,High,Completed,10,8.0,2025,October,10,23,Thursday,High,High,Medium
TRP-00004,RT-004,Quetta to Multan,Capital Bus Service,QTA-2169,Mini Bus,Quetta,Multan,2025-11-08,Weekend,09:40,19:49,592,609,17,15,27,55.56,615,9225,92.2,DRV-0015,Sunny,Low,Completed,9,19.0,2025,November,11,8,Saturday,Low,Moderate,Medium
TRP-00005,RT-005,Hyderabad to Karachi,Blue Line Transit,KHI-6155,Standard,Hyderabad,Karachi,2025-04-19,Weekend,19:30,23:02,195,212,17,30,49,61.22,250,7500,48.5,DRV-0150,Sunny,Low,Completed,19,23.0,2025,April,4,19,Saturday,Low,Moderate,High
TRP-00006,RT-006,Lahore to Multan,Punjab Transit,LEA-1771,AC,Lahore,Multan,2025-02-26,Weekday,08:50,16:03,408,433,25,25,53,47.17,435,10875,98.5,DRV-0142,Cloudy,Moderate,Completed,8,16.0,2025,February,2,26,Wednesday,Medium,Moderate,Medium
TRP-00007,RT-007,Lahore to Karachi,Capital Bus Service,ISB-2827,Mini Bus,Lahore,Karachi,2025-05-31,Weekend,17:10,13:59,1192,1249,57,26,29,89.66,1440,37440,241.3,DRV-0051,Dust Storm,High,Completed,17,13.0,2025,May,5,31,Saturday,High,High,Full
TRP-00008,RT-008,Rawalpindi to Islamabad,City Metro Bus,PES-1319,Electric,Rawalpindi,Islamabad,2025-02-27,Weekday,15:20,16:52,54,92,38,17,41,41.46,80,1360,0.9,DRV-0122,Sunny,Moderate,Delayed,15,16.0,2025,February,2,27,Thursday,Low,High,Medium
TRP-00009,RT-009,Faisalabad to Islamabad,Blue Line Transit,MUL-4295,Hybrid,Faisalabad,Islamabad,2025-06-09,Weekday,16:50,22:53,338,363,25,32,49,65.31,375,12000,61.5,DRV-0059,Foggy,Moderate,Completed,16,22.0,2025,June,6,9,Monday,Medium,Moderate,High
TRP-00010,RT-007,Lahore to Karachi,City Metro Bus,LEA-6413,Standard,Lahore,Karachi,2025-02-06,Weekday,20:15,17:11,1238,1256,18,32,50,64.0,1340,42880,341.5,DRV-0063,Sunny,Low,Completed,20,17.0,2025,February,2,6,Thursday,High,Moderate,High
TRP-00011,RT-010,Peshawar to Rawalpindi,Blue Line Transit,PES-8651,AC,Peshawar,Rawalpindi,2025-01-28,Weekday,07:00,11:28,227,268,41,21,50,42.0,235,4935,57.3,DRV-0047,Rainy,Low,Completed,7,11.0,2025,January,1,28,Tuesday,Low,High,Medium
TRP-00012,RT-006,Lahore to Multan,Green Line Express,SGD-2604,AC,Lahore,Multan,2025-01-26,Weekend,21:00,02:57,342,357,15,23,47,48.94,400,9200,105.9,DRV-0100,Sunny,Moderate,Completed,21,2.0,2025,January,1,26,Sunday,Low,Minor,Medium
TRP-00013,RT-011,Rawalpindi to Peshawar,National Express PK,ISB-4566,Standard,Rawalpindi,Peshawar,2025-01-30,Weekday,22:55,02:55,219,240,21,17,45,37.78,240,4080,48.3,DRV-0131,Sunny,Moderate,Completed,22,2.0,2025,January,1,30,Thursday,Low,Moderate,Low
TRP-00014,RT-012,Islamabad to Rawalpindi,Green Line Express,KHI-7615,Electric,Islamabad,Rawalpindi,2025-03-03,Weekday,22:15,23:20,48,65,17,27,59,45.76,85,2295,0.9,DRV-0081,Sunny,Moderate,Completed,22,23.0,2025,March,3,3,Monday,Low,Moderate,Medium
TRP-00015,RT-013,Lahore to Sialkot,Capital Bus Service,SGD-2188,AC,Lahore,Sialkot,2025-01-05,Weekend,18:45,21:24,144,159,15,38,43,88.37,195,7410,41.9,DRV-0041,Sunny,Moderate,Completed,18,21.0,2025,January,1,5,Sunday,Low,Minor,Full
TRP-00016,RT-014,Multan to Faisalabad,City Metro Bus,MUL-5905,Electric,Multan,Faisalabad,2025-12-06,Weekend,07:10,12:53,305,343,38,29,43,67.44,275,7975,13.9,DRV-0068,Rainy,Low,Completed,7,12.0,2025,December,12,6,Saturday,Low,High,High
